" - Edit"," - Bearbeiten"
"Could not find comment to delete.","Zu löschender Kommentar konnte nicht gefunden werden."
"Could not find tag to delete.","Zu löschender Tag konnte nicht gefunden werden."
"Create new attribute","Neues Attribut erstellen"
"Created at","Erstellt am"
"Current Product Related posts","Verwandte Beiträge des aktuellen Produkts"
"Current Product Related posts widget","Widget für verwandte Beiträge des aktuellen Produkts"
"Custom Sitemap","Benutzerdefinierte Sitemap"
"Customer profile","Kundenprofil"
"Dark","Dunkel"
"Data cannot be null","Daten dürfen nicht leer sein"
"Declare attribute value saving scope","Speicherbereich für Attributwerte festlegen"
"Default Comment Form","Standard-Kommentarformular"
"Default Values","Standardwerte"
"Default: 10","Standard: 10"
"Default: 5","Standard: 5"
"Delete","Löschen"
"Delete Category","Kategorie löschen"
"Delete File","Datei löschen"
"Delete Post","Beitrag löschen"
"Delete Post Attribute","Beitragsattribut löschen"
"Delete Post comment","Beitragskommentar löschen"
"Delete Tag","Tag löschen"
"Delete attribute","Attribut löschen"
"Description","Beschreibung"
"Disable Completely","Vollständig deaktivieren"
"Disabled","Deaktiviert"
"Discover the products","Entdecken Sie die Produkte"
"Display posts in same category","Beiträge derselben Kategorie anzeigen"
"Disqus Comment","Disqus-Kommentar"
"Disqus unique name","Eindeutiger Disqus-Name"
"E-mail","E-Mail"
"Edit","Bearbeiten"
"Edit Post Attribute","Beitragsattribut bearbeiten"
"Edit Post Attribute ""%s""","Beitragsattribut ""%s"" bearbeiten"
"Email can't be empty","E-Mail darf nicht leer sein"
"Enable Comment Widget","Kommentar-Widget aktivieren"
"Enable Most Views Widget","Meistgelesen-Widget aktivieren"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Enable rss","RSS aktivieren"
"Enabled","Aktiviert"
"Error generating blog sitemap: %s","Fehler beim Generieren der Blog-Sitemap: %s"
"Error saving post","Fehler beim Speichern des Beitrags"
"Excel","Excel"
"Expand All","Alle aufklappen"
"Facebook Comment","Facebook-Kommentar"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Farbschema"
"Facebook: Number of comment","Facebook: Anzahl der Kommentare"
"Facebook: Order by","Facebook: Sortieren nach"
"File","Datei"
"File ","Datei "
"Footer","Fußzeile"
"Frontend Properties","Frontend-Eigenschaften"
"General","Allgemein"
"Generate Blog Sitemap","Blog-Sitemap generieren"
"Generate Blog Sitemap (Optional)","Blog-Sitemap generieren (Optional)"
"Get Feed","Feed abrufen"
"Get full information about attribute with list of options","Vollständige Informationen über Attribut mit Optionsliste abrufen"
"Get list of non-default attributes","Liste der Nicht-Standard-Attribute abrufen"
"Get list of possible attribute types","Liste der möglichen Attributtypen abrufen"
"Global","Global"
"Guest comments are not allowed","Gastkommentare sind nicht erlaubt"
"Home","Startseite"
"ID: %s","ID: %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","Wenn Sie aktuelle Kommentare anzeigen möchten, sollten Sie als Kommentarformular das Standard-Kommentarformular wählen. Facebook- und Disqus-Kommentare können nicht angezeigt werden."
"Image","Bild"
"Import AW Blog","AW Blog importieren"
"Import from AW Blog","Aus AW Blog importieren"
"In RSS","In RSS"
"Info","Info"
"Invalid form key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Leave empty for no prefix","Leer lassen für kein Präfix"
"Leave empty for no prefix. Default: blog","Leer lassen für kein Präfix. Standard: blog"
"Leave empty to use default URL module/controller/action. Default URL: posts","Leer lassen, um die Standard-URL Modul/Controller/Aktion zu verwenden. Standard-URL: posts"
"Level","Ebene"
"Levels to show (0 for all)","Anzuzeigende Ebenen (0 für alle)"
"Light","Hell"
"List","Liste"
"Mageplaza","Mageplaza"
"Manage Attributes","Attribute verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Comments","Kommentare verwalten"
"Manage Label / Options","Bezeichnung / Optionen verwalten"
"Manage Post Attributes","Beitragsattribute verwalten"
"Manage Post attributes","Beitragsattribute verwalten"
"Manage Posts","Beiträge verwalten"
"Manage Tags","Tags verwalten"
"Meta","Meta"
"Meta description","Meta-Beschreibung"
"Meta description for posts list page","Meta-Beschreibung für die Beitragslistenseite"
"Meta information","Meta-Informationen"
"Meta keywords","Meta-Schlüsselwörter"
"Meta keywords for posts list page","Meta-Schlüsselwörter für die Beitragslistenseite"
"Meta title","Meta-Titel"
"Meta title for posts list page","Meta-Titel für die Beitragslistenseite"
"Meta-description","Meta-Beschreibung"
"Meta-keywords","Meta-Schlüsselwörter"
"Meta-title","Meta-Titel"
"More articles in this category","Weitere Artikel in dieser Kategorie"
"Most Views","Meistgelesen"
"Move","Verschieben"
"Move category in tree","Kategorie im Baum verschieben"
"My Post Comments","Meine Beitragskommentare"
"My Posts Comments","Meine Beitragskommentare"
"My Posts comment view","Meine Beitragskommentar-Ansicht"
"My Posts comments","Meine Beitragskommentare"
"Name","Name"
"Name in %s","Name in %s"
"New Category","Neue Kategorie"
"New Post Attribute","Neues Beitragsattribut"
"New Root Category","Neue Stammkategorie"
"Nickname","Spitzname"
"No","Nein"
"None","Keine"
"Note","Hinweis"
"Number of comments","Anzahl der Kommentare"
"Number of most view posts","Anzahl der meistgelesenen Beiträge"
"Number of recent posts","Anzahl der neuesten Beiträge"
"Number of same category posts to display","Anzahl der anzuzeigenden Beiträge derselben Kategorie"
"Number of tags to display","Anzahl der anzuzeigenden Tags"
"On %s %s wrote:","Am %s schrieb %s:"
"On %s you wrote:","Am %s schrieben Sie:"
"Only registered users can write comments. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Nur registrierte Benutzer können Kommentare schreiben. Bitte <a href=""%s"">melden Sie sich an</a> oder <a href=""%s"">registrieren Sie sich</a>"
"Override Categories","Kategorien überschreiben"
"Override Posts","Beiträge überschreiben"
"Override Tags","Tags überschreiben"
"Parent id","Übergeordnete ID"
"Path","Pfad"
"Pending","Ausstehend"
"Please enter a valid email address","Bitte geben Sie eine gültige E-Mail-Adresse ein"
"Please make sure that ""%s"" is writable by the web-server.","Bitte stellen Sie sicher, dass ""%s"" vom Webserver beschreibbar ist."
"Please select comments to delete.","Bitte wählen Sie die zu löschenden Kommentare aus."
"Please select comments.","Bitte wählen Sie Kommentare aus."
"Please select posts.","Bitte wählen Sie Beiträge aus."
"Please select tags to delete.","Bitte wählen Sie die zu löschenden Tags aus."
"Please select tags.","Bitte wählen Sie Tags aus."
"Popular Tags","Beliebte Tags"
"Position","Position"
"Position in the admin form","Position im Administrationsformular"
"Post","Beitrag"
"Post API","Beitrags-API"
"Post Attributes","Beitragsattribute"
"Post Comment","Beitragskommentar"
"Post Comments","Beitragskommentare"
"Post Information","Beitragsinformationen"
"Post comment","Beitragskommentar"
"Post link","Beitragslink"
"Post link widget","Beitragslink-Widget"
"Post view","Beitragsansicht"
"Post view page","Beitragsansichtsseite"
"Post view widget","Beitragsansicht-Widget"
"Post was saved","Beitrag wurde gespeichert"
"Posted in","Veröffentlicht in"
"Posted on","Veröffentlicht am"
"Poster e-mail","E-Mail des Verfassers"
"Poster email","E-Mail des Verfassers"
"Poster name","Name des Verfassers"
"Posts","Beiträge"
"Posts Comments","Beitragskommentare"
"Posts list","Beitragsliste"
"Posts rss feed","Beitrags-RSS-Feed"
"Product attributes API","Produktattribute-API"
"Products","Produkte"
"Properties","Eigenschaften"
"Read More","Weiterlesen"
"Recent Comments","Neueste Kommentare"
"Recent posts","Neueste Beiträge"
"Rejected","Abgelehnt"
"Related posts","Verwandte Beiträge"
"Relative to Website Base URL","Relativ zur Website-Basis-URL"
"Remove","Entfernen"
"Remove attribute","Attribut entfernen"
"Remove category","Kategorie entfernen"
"Remove category from post","Kategorie vom Beitrag entfernen"
"Remove option","Option entfernen"
"Remove post","Beitrag entfernen"
"Remove post from category","Beitrag aus Kategorie entfernen"
"Remove post from tag","Beitrag vom Tag entfernen"
"Remove tag","Tag entfernen"
"Remove tag from post","Tag vom Beitrag entfernen"
"Reset","Zurücksetzen"
"Retrieve Post Comments","Beitragskommentare abrufen"
"Retrieve attribute list","Attributliste abrufen"
"Retrieve attribute options","Attributoptionen abrufen"
"Retrieve category info","Kategorieinformationen abrufen"
"Retrieve list of categories","Kategorienliste abrufen"
"Retrieve list of posts","Beitragsliste abrufen"
"Retrieve list of tags","Tagliste abrufen"
"Retrieve one level of categories","Eine Ebene der Kategorien abrufen"
"Retrieve post info","Beitragsinformationen abrufen"
"Retrieve tag info","Tag-Informationen abrufen"
"Reverse time","Umgekehrte Zeitreihenfolge"
"Root","Stamm"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Category","Kategorie speichern"
"Save Post","Beitrag speichern"
"Save Post Attribute","Beitragsattribut speichern"
"Save Post comment","Beitragskommentar speichern"
"Save Tag","Tag speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save this option before importing","Diese Option vor dem Import speichern"
"Scope","Geltungsbereich"
"Select Category","Kategorie auswählen"
"Select Post","Beitrag auswählen"
"Select Tag","Tag auswählen"
"Set/Get current store view","Aktuelle Shop-Ansicht setzen/abrufen"
"Settings","Einstellungen"
"Short Description","Kurzbeschreibung"
"Show Blog Link in Footer Links","Blog-Link in Fußzeilenlinks anzeigen"
"Show Blog Link in Top links","Blog-Link in oberen Links anzeigen"
"Show Sidebar Left","Linke Seitenleiste anzeigen"
"Show Sidebar Right","Rechte Seitenleiste anzeigen"
"Show in rss","In RSS anzeigen"
"Sidebar","Seitenleiste"
"Social","Soziale Netzwerke"
"Status","Status"
"Store View","Shop-Ansicht"
"Store Views","Shop-Ansichten"
"Store views","Shop-Ansichten"
"Submit Comment","Kommentar absenden"
"Subscribe to RSS Feed","RSS-Feed abonnieren"
"Tag","Tag"
"Tag API","Tag-API"
"Tag link","Tag-Link"
"Tag link widget","Tag-Link-Widget"
"Tag view","Tag-Ansicht"
"Tag view page","Tag-Ansichtsseite"
"Tag view widget","Tag-Ansicht-Widget"
"Tag was successfully deleted.","Tag wurde erfolgreich gelöscht."
"Tag was successfully saved","Tag wurde erfolgreich gespeichert"
"Tags","Tags"
"Tags list","Tag-Liste"
"Tags rss feed","Tags-RSS-Feed"
"Text to appear below the input.","Text, der unter dem Eingabefeld angezeigt wird."
"The category has been deleted.","Die Kategorie wurde gelöscht."
"The category has been saved.","Die Kategorie wurde gespeichert."
"The post attribute has been deleted.","Das Beitragsattribut wurde gelöscht."
"The post attribute has been saved.","Das Beitragsattribut wurde gespeichert."
"The posts has been deleted.","Die Beiträge wurden gelöscht."
"There are no categories at this moment","Es sind derzeit keine Kategorien vorhanden"
"There are no posts at this moment","Es sind derzeit keine Beiträge vorhanden"
"There was a problem saving the comment.","Beim Speichern des Kommentars ist ein Problem aufgetreten."
"There was a problem saving the tag.","Beim Speichern des Tags ist ein Problem aufgetreten."
"There was an error deleting comments.","Beim Löschen der Kommentare ist ein Fehler aufgetreten."
"There was an error deleting tag.","Beim Löschen des Tags ist ein Fehler aufgetreten."
"There was an error deleting tags.","Beim Löschen der Tags ist ein Fehler aufgetreten."
"There was an error deleting the comment.","Beim Löschen des Kommentars ist ein Fehler aufgetreten."
"There was an error updating comments.","Beim Aktualisieren der Kommentare ist ein Fehler aufgetreten."
"There was an error updating posts.","Beim Aktualisieren der Beiträge ist ein Fehler aufgetreten."
"There was an error updating tags.","Beim Aktualisieren der Tags ist ein Fehler aufgetreten."
"This attribute cannot be deleted.","Dieses Attribut kann nicht gelöscht werden."
"This attribute cannot be updated.","Dieses Attribut kann nicht aktualisiert werden."
"This attribute is not deletable","Dieses Attribut kann nicht gelöscht werden"
"This attribute no longer exists","Dieses Attribut existiert nicht mehr"
"This comment no longer exists.","Dieser Kommentar existiert nicht mehr."
"This post attribute cannot be edited.","Dieses Beitragsattribut kann nicht bearbeitet werden."
"This post attribute no longer exists","Dieses Beitragsattribut existiert nicht mehr"
"This post does not allow comments","Dieser Beitrag erlaubt keine Kommentare"
"This post no longer exists.","Dieser Beitrag existiert nicht mehr."
"This tag no longer exists.","Dieser Tag existiert nicht mehr."
"Time","Zeit"
"Title","Titel"
"Top Link","Oberer Link"
"Topic","Thema"
"Total of %d comments were successfully updated.","Insgesamt %d Kommentare wurden erfolgreich aktualisiert."
"Total of %d posts were successfully updated.","Insgesamt %d Beiträge wurden erfolgreich aktualisiert."
"Total of %d record(s) have been deleted.","Insgesamt %d Datensatz/Datensätze wurden gelöscht."
"Total of %d tags were successfully deleted.","Insgesamt %d Tags wurden erfolgreich gelöscht."
"Total of %d tags were successfully updated.","Insgesamt %d Tags wurden erfolgreich aktualisiert."
"URL key","URL-Schlüssel"
"URL key for list page","URL-Schlüssel für die Listenseite"
"URL prefix","URL-Präfix"
"Unable to find an attribute to delete.","Zu löschendes Attribut konnte nicht gefunden werden."
"Unable to find comment to save.","Zu speichernder Kommentar konnte nicht gefunden werden."
"Unable to find tag to save.","Zu speichernder Tag konnte nicht gefunden werden."
"Unable to post the comment.","Der Kommentar konnte nicht veröffentlicht werden."
"Update","Aktualisieren"
"Update Post Status","Beitragsstatus aktualisieren"
"Update Status","Status aktualisieren"
"Update attribute","Attribut aktualisieren"
"Update category","Kategorie aktualisieren"
"Update post","Beitrag aktualisieren"
"Update tag","Tag aktualisieren"
"Updated at","Aktualisiert am"
"Url key","URL-Schlüssel"
"Url suffix","URL-Suffix"
"Use Breadcrumbs","Brotkrümelnavigation verwenden"
"Use Default Value","Standardwert verwenden"
"Use default config","Standardkonfiguration verwenden"
"View All Tags","Alle Tags anzeigen"
"View Details","Details anzeigen"
"WYSIWYG Editor","WYSIWYG-Editor"
"Website","Website"
"Welcome to our Blog","Willkommen in unserem Blog"
"What goes after the dot. Leave empty for no suffix.","Was nach dem Punkt kommt. Leer lassen für kein Suffix."
"What goes after the dot. Leave empty for no suffix. Default: html","Was nach dem Punkt kommt. Leer lassen für kein Suffix. Standard: html"
"Write Your Comment","Schreiben Sie Ihren Kommentar"
"XML","XML"
"Yes","Ja"
"You have submitted no comments for posts.","Sie haben keine Kommentare zu Beiträgen abgegeben."
"Your comment has been accepted for moderation.","Ihr Kommentar wurde zur Moderation angenommen."
"Your name can't be empty","Ihr Name darf nicht leer sein"
"comment","Kommentar"
"comments","Kommentare"
