" - Edit"," - Editar"
"Customer profile","Perfil de cliente"
"Dark","Oscuro"
"Data cannot be null","Los datos no pueden ser nulos"
"Declare attribute value saving scope","Declarar el ámbito de guardado del valor del atributo"
"Default Comment Form","Formulario de comentario predeterminado"
"Default Values","Valores predeterminados"
"Default: 10","Predeterminado: 10"
"Default: 5","Predeterminado: 5"
"Delete","Eliminar"
"Delete Category","Eliminar categoría"
"Delete File","Eliminar archivo"
"Delete Post","Eliminar artículo"
"Delete Post Attribute","Eliminar atributo de artículo"
"Delete Post comment","Eliminar comentario del artículo"
"Delete Tag","Eliminar etiqueta"
"Delete attribute","Eliminar atributo"
"Description","Descripción"
"Disable Completely","Deshabilitar completamente"
"Disabled","Deshabilitado"
"Discover the products","Descubra los productos"
"Display posts in same category","Mostrar artículos de la misma categoría"
"Disqus Comment","Comentario de Disqus"
"Disqus unique name","Nombre único de Disqus"
"E-mail","Correo electrónico"
"Edit","Editar"
"Edit Post Attribute","Editar atributo de artículo"
"Edit Post Attribute ""%s""","Editar atributo de artículo ""%s"""
"Email can't be empty","El correo electrónico no puede estar vacío"
"Enable Comment Widget","Habilitar widget de comentarios"
"Enable Most Views Widget","Habilitar widget de más vistos"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable rss","Habilitar RSS"
"Enabled","Habilitado"
"Error generating blog sitemap: %s","Error al generar el mapa del sitio del blog: %s"
"Error saving post","Error al guardar el artículo"
"Excel","Excel"
"Expand All","Expandir todo"
"Facebook Comment","Comentario de Facebook"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Esquema de colores"
"Facebook: Number of comment","Facebook: Número de comentarios"
"Facebook: Order by","Facebook: Ordenar por"
"File","Archivo"
"File ","Archivo "
"Footer","Pie de página"
"Frontend Properties","Propiedades de la interfaz"
"General","General"
"Generate Blog Sitemap","Generar mapa del sitio del blog"
"Generate Blog Sitemap (Optional)","Generar mapa del sitio del blog (Opcional)"
"Get Feed","Obtener feed"
"Get full information about attribute with list of options","Obtener información completa sobre el atributo con la lista de opciones"
"Get list of non-default attributes","Obtener lista de atributos no predeterminados"
"Get list of possible attribute types","Obtener lista de tipos de atributos posibles"
"Global","Global"
"Guest comments are not allowed","Los comentarios de invitados no están permitidos"
"Home","Inicio"
"ID: %s","ID: %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","Si desea mostrar comentarios recientes, debe elegir que el formulario de comentarios sea el formulario de comentario predeterminado. No se pueden mostrar los comentarios de Facebook ni de Disqus."
"Image","Imagen"
"Import AW Blog","Importar AW Blog"
"Import from AW Blog","Importar desde AW Blog"
"In RSS","En RSS"
"Info","Información"
"Invalid form key. Please refresh the page.","Clave de formulario no válida. Por favor, actualice la página."
"Leave empty for no prefix","Dejar vacío para no usar prefijo"
"Leave empty for no prefix. Default: blog","Dejar vacío para no usar prefijo. Predeterminado: blog"
"Leave empty to use default URL module/controller/action. Default URL: posts","Dejar vacío para usar la URL predeterminada módulo/controlador/acción. URL predeterminada: posts"
"Level","Nivel"
"Levels to show (0 for all)","Niveles a mostrar (0 para todos)"
"Light","Claro"
"List","Lista"
"Mageplaza","Mageplaza"
"Manage Attributes","Gestionar atributos"
"Manage Categories","Gestionar categorías"
"Manage Comments","Gestionar comentarios"
"Manage Label / Options","Gestionar etiqueta / opciones"
"Manage Post Attributes","Gestionar atributos de artículo"
"Manage Post attributes","Gestionar atributos de artículo"
"Manage Posts","Gestionar artículos"
"Manage Tags","Gestionar etiquetas"
"Meta","Meta"
"Meta description","Meta descripción"
"Meta description for posts list page","Meta descripción para la página de lista de artículos"
"Meta information","Información meta"
"Meta keywords","Meta palabras clave"
"Meta keywords for posts list page","Meta palabras clave para la página de lista de artículos"
"Meta title","Meta título"
"Meta title for posts list page","Meta título para la página de lista de artículos"
"Meta-description","Meta-descripción"
"Meta-keywords","Meta-palabras clave"
"Meta-title","Meta-título"
"More articles in this category","Más artículos en esta categoría"
"Most Views","Más vistos"
"Move","Mover"
"Move category in tree","Mover categoría en el árbol"
"My Post Comments","Comentarios de mis artículos"
"My Posts Comments","Comentarios de mis artículos"
"My Posts comment view","Vista de comentarios de mis artículos"
"My Posts comments","Comentarios de mis artículos"
"Name","Nombre"
"Name in %s","Nombre en %s"
"New Category","Nueva categoría"
"New Post Attribute","Nuevo atributo de artículo"
"New Root Category","Nueva categoría raíz"
"Nickname","Apodo"
"No","No"
"None","Ninguno"
"Note","Nota"
"Number of comments","Número de comentarios"
"Number of most view posts","Número de artículos más vistos"
"Number of recent posts","Número de artículos recientes"
"Number of same category posts to display","Número de artículos de la misma categoría a mostrar"
"Number of tags to display","Número de etiquetas a mostrar"
"On %s %s wrote:","El %s %s escribió:"
"On %s you wrote:","El %s usted escribió:"
"Only registered users can write comments. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Solo los usuarios registrados pueden escribir comentarios. Por favor, <a href=""%s"">inicie sesión</a> o <a href=""%s"">regístrese</a>"
"Override Categories","Anular categorías"
"Override Posts","Anular artículos"
"Override Tags","Anular etiquetas"
"Parent id","Id del padre"
"Path","Ruta"
"Pending","Pendiente"
"Please enter a valid email address","Por favor, introduzca una dirección de correo electrónico válida"
"Please make sure that ""%s"" is writable by the web-server.","Por favor, asegúrese de que ""%s"" tenga permisos de escritura del servidor web."
"Please select comments to delete.","Por favor, seleccione los comentarios a eliminar."
"Please select comments.","Por favor, seleccione los comentarios."
"Please select posts.","Por favor, seleccione los artículos."
"Please select tags to delete.","Por favor, seleccione las etiquetas a eliminar."
"Please select tags.","Por favor, seleccione las etiquetas."
"Popular Tags","Etiquetas populares"
"Position","Posición"
"Position in the admin form","Posición en el formulario de administración"
"Post","Artículo"
"Post API","API de artículos"
"Post Attributes","Atributos de artículo"
"Post Comment","Comentario del artículo"
"Post Comments","Comentarios del artículo"
"Post Information","Información del artículo"
"Post comment","Comentario del artículo"
"Post link","Enlace del artículo"
"Post link widget","Widget de enlace del artículo"
"Post view","Vista del artículo"
"Post view page","Página de vista del artículo"
"Post view widget","Widget de vista del artículo"
"Post was saved","El artículo se ha guardado"
"Posted in","Publicado en"
"Posted on","Publicado el"
"Poster e-mail","Correo electrónico del autor"
"Poster email","Correo electrónico del autor"
"Poster name","Nombre del autor"
"Posts","Artículos"
"Posts Comments","Comentarios de los artículos"
"Posts list","Lista de artículos"
"Posts rss feed","Feed RSS de artículos"
"Product attributes API","API de atributos de producto"
"Products","Productos"
"Properties","Propiedades"
"Read More","Leer más"
"Recent Comments","Comentarios recientes"
"Recent posts","Artículos recientes"
"Rejected","Rechazado"
"Related posts","Artículos relacionados"
"Relative to Website Base URL","Relativo a la URL base del sitio web"
"Remove","Eliminar"
"Remove attribute","Eliminar atributo"
"Remove category","Eliminar categoría"
"Remove category from post","Eliminar categoría del artículo"
"Remove option","Eliminar opción"
"Remove post","Eliminar artículo"
"Remove post from category","Eliminar artículo de la categoría"
"Remove post from tag","Eliminar artículo de la etiqueta"
"Remove tag","Eliminar etiqueta"
"Remove tag from post","Eliminar etiqueta del artículo"
"Reset","Restablecer"
"Retrieve Post Comments","Obtener comentarios del artículo"
"Retrieve attribute list","Obtener lista de atributos"
"Retrieve attribute options","Obtener opciones de atributos"
"Retrieve category info","Obtener información de la categoría"
"Retrieve list of categories","Obtener lista de categorías"
"Retrieve list of posts","Obtener lista de artículos"
"Retrieve list of tags","Obtener lista de etiquetas"
"Retrieve one level of categories","Obtener un nivel de categorías"
"Retrieve post info","Obtener información del artículo"
"Retrieve tag info","Obtener información de la etiqueta"
"Reverse time","Tiempo inverso"
"Root","Raíz"
"Save And Continue Edit","Guardar y continuar editando"
"Save Category","Guardar categoría"
"Save Post","Guardar artículo"
"Save Post Attribute","Guardar atributo de artículo"
"Save Post comment","Guardar comentario del artículo"
"Save Tag","Guardar etiqueta"
"Save and Continue Edit","Guardar y continuar editando"
"Save this option before importing","Guarde esta opción antes de importar"
"Scope","Ámbito"
"Select Category","Seleccionar categoría"
"Select Post","Seleccionar artículo"
"Select Tag","Seleccionar etiqueta"
"Set/Get current store view","Establecer/Obtener la vista de tienda actual"
"Settings","Configuración"
"Short Description","Descripción corta"
"Show Blog Link in Footer Links","Mostrar enlace del blog en los enlaces del pie de página"
"Show Blog Link in Top links","Mostrar enlace del blog en los enlaces superiores"
"Show Sidebar Left","Mostrar barra lateral izquierda"
"Show Sidebar Right","Mostrar barra lateral derecha"
"Show in rss","Mostrar en RSS"
"Sidebar","Barra lateral"
"Social","Social"
"Status","Estado"
"Store View","Vista de tienda"
"Store Views","Vistas de tienda"
"Store views","Vistas de tienda"
"Submit Comment","Enviar comentario"
"Subscribe to RSS Feed","Suscribirse al feed RSS"
"Tag","Etiqueta"
"Tag API","API de etiquetas"
"Tag link","Enlace de etiqueta"
"Tag link widget","Widget de enlace de etiqueta"
"Tag view","Vista de etiqueta"
"Tag view page","Página de vista de etiqueta"
"Tag view widget","Widget de vista de etiqueta"
"Tag was successfully deleted.","La etiqueta se ha eliminado correctamente."
"Tag was successfully saved","La etiqueta se ha guardado correctamente"
"Tags","Etiquetas"
"Tags list","Lista de etiquetas"
"Tags rss feed","Feed RSS de etiquetas"
"Text to appear below the input.","Texto que aparecerá debajo del campo de entrada."
"The category has been deleted.","La categoría ha sido eliminada."
"The category has been saved.","La categoría ha sido guardada."
"The post attribute has been deleted.","El atributo de artículo ha sido eliminado."
"The post attribute has been saved.","El atributo de artículo ha sido guardado."
"The posts has been deleted.","Los artículos han sido eliminados."
"There are no categories at this moment","No hay categorías en este momento"
"There are no posts at this moment","No hay artículos en este momento"
"There was a problem saving the comment.","Se produjo un problema al guardar el comentario."
"There was a problem saving the tag.","Se produjo un problema al guardar la etiqueta."
"There was an error deleting comments.","Se produjo un error al eliminar los comentarios."
"There was an error deleting tag.","Se produjo un error al eliminar la etiqueta."
"There was an error deleting tags.","Se produjo un error al eliminar las etiquetas."
"There was an error deleting the comment.","Se produjo un error al eliminar el comentario."
"There was an error updating comments.","Se produjo un error al actualizar los comentarios."
"There was an error updating posts.","Se produjo un error al actualizar los artículos."
"There was an error updating tags.","Se produjo un error al actualizar las etiquetas."
"This attribute cannot be deleted.","Este atributo no se puede eliminar."
"This attribute cannot be updated.","Este atributo no se puede actualizar."
"This attribute is not deletable","Este atributo no se puede eliminar"
"This attribute no longer exists","Este atributo ya no existe"
"This comment no longer exists.","Este comentario ya no existe."
"This post attribute cannot be edited.","Este atributo de artículo no se puede editar."
"This post attribute no longer exists","Este atributo de artículo ya no existe"
"This post does not allow comments","Este artículo no permite comentarios"
"This post no longer exists.","Este artículo ya no existe."
"This tag no longer exists.","Esta etiqueta ya no existe."
"Time","Hora"
"Title","Título"
"Top Link","Enlace superior"
"Topic","Tema"
"Total of %d comments were successfully updated.","Se han actualizado correctamente un total de %d comentarios."
"Total of %d posts were successfully updated.","Se han actualizado correctamente un total de %d artículos."
"Total of %d record(s) have been deleted.","Se han eliminado un total de %d registro(s)."
"Total of %d tags were successfully deleted.","Se han eliminado correctamente un total de %d etiquetas."
"Total of %d tags were successfully updated.","Se han actualizado correctamente un total de %d etiquetas."
"URL key","Clave de URL"
"URL key for list page","Clave de URL para la página de lista"
"URL prefix","Prefijo de URL"
"Unable to find an attribute to delete.","No se ha encontrado un atributo para eliminar."
"Unable to find comment to save.","No se ha encontrado el comentario para guardar."
"Unable to find tag to save.","No se ha encontrado la etiqueta para guardar."
"Unable to post the comment.","No se ha podido publicar el comentario."
"Update","Actualizar"
"Update Post Status","Actualizar estado del artículo"
"Update Status","Actualizar estado"
"Update attribute","Actualizar atributo"
"Update category","Actualizar categoría"
"Update post","Actualizar artículo"
"Update tag","Actualizar etiqueta"
"Updated at","Actualizado el"
"Url key","Clave de URL"
"Url suffix","Sufijo de URL"
"Use Breadcrumbs","Usar migas de pan"
"Use Default Value","Usar valor predeterminado"
"Use default config","Usar configuración predeterminada"
"View All Tags","Ver todas las etiquetas"
"View Details","Ver detalles"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Sitio web"
"Welcome to our Blog","Bienvenido a nuestro blog"
"What goes after the dot. Leave empty for no suffix.","Lo que va después del punto. Dejar vacío para no usar sufijo."
"What goes after the dot. Leave empty for no suffix. Default: html","Lo que va después del punto. Dejar vacío para no usar sufijo. Predeterminado: html"
"Write Your Comment","Escriba su comentario"
"XML","XML"
"Yes","Sí"
"You have submitted no comments for posts.","No ha enviado comentarios en artículos."
"Your comment has been accepted for moderation.","Su comentario ha sido aceptado para moderación."
"Your name can't be empty","Su nombre no puede estar vacío"
"comment","comentario"
"comments","comentarios"
